ID,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
Seq_1,0.265,0.085,0.65,0.32,0.322,0.273,0.034,0.087,0.085,0.265,0.65,0.37,0.306,0.401,0.152,0.073,0.251,0.445,0.555
Seq_2,0.098,0.069,0.833,0.347,0.456,0.383,0.129,0.079,0.069,0.098,0.833,0.493,0.257,0.437,0.255,0.038,0.325,0.629,0.371
Seq_3,0.19,0.099,0.711,0.167,0.53,0.476,0.076,0.057,0.099,0.19,0.711,0.402,0.28,0.394,0.096,0.031,0.368,0.541,0.459
Seq_4,0.109,0.106,0.785,0.198,0.562,0.517,0.104,0.045,0.106,0.109,0.785,0.512,0.238,0.401,0.126,0.025,0.282,0.569,0.431
Seq_5,0.116,0.101,0.783,0.213,0.541,0.452,0.072,0.103,0.101,0.116,0.783,0.523,0.217,0.339,0.087,0.023,0.25,0.471,0.529
Seq_6,0.209,0.086,0.705,0.287,0.375,0.304,0.059,0.081,0.086,0.209,0.705,0.428,0.311,0.359,0.164,0.062,0.257,0.499,0.501
Seq_7,0.134,0.126,0.74,0.239,0.462,0.373,0.077,0.075,0.126,0.134,0.74,0.465,0.25,0.402,0.164,0.042,0.259,0.541,0.459
Seq_8,0.151,0.148,0.701,0.248,0.419,0.338,0.056,0.097,0.148,0.151,0.701,0.412,0.24,0.419,0.156,0.036,0.251,0.494,0.506
Seq_9,0.15,0.204,0.646,0.174,0.461,0.423,0.039,0.043,0.204,0.15,0.646,0.472,0.2,0.41,0.105,0.017,0.232,0.5,0.5
Seq_10,0.181,0.208,0.611,0.097,0.458,0.361,0.028,0.083,0.208,0.181,0.611,0.417,0.264,0.361,0.083,0.028,0.167,0.375,0.625
Seq_11,0.144,0.125,0.732,0.241,0.454,0.383,0.069,0.064,0.125,0.144,0.732,0.457,0.249,0.398,0.166,0.053,0.26,0.545,0.455
Seq_12,0.134,0.116,0.75,0.241,0.464,0.391,0.062,0.076,0.116,0.134,0.75,0.498,0.241,0.354,0.149,0.04,0.263,0.537,0.463
Seq_13,0.192,0.147,0.66,0.173,0.474,0.391,0.019,0.083,0.147,0.192,0.66,0.506,0.224,0.34,0.096,0.045,0.218,0.436,0.564
Seq_14,0.183,0.111,0.706,0.245,0.451,0.403,0.106,0.053,0.111,0.183,0.706,0.488,0.299,0.359,0.112,0.073,0.291,0.56,0.44
Seq_15,0.342,0.051,0.607,0.179,0.413,0.398,0.082,0.02,0.051,0.342,0.607,0.403,0.439,0.255,0.138,0.01,0.301,0.51,0.49
Seq_16,0.176,0.135,0.689,0.204,0.45,0.383,0.043,0.074,0.135,0.176,0.689,0.435,0.254,0.364,0.125,0.038,0.234,0.482,0.518
Seq_17,0.171,0.181,0.648,0.181,0.429,0.362,0.057,0.067,0.181,0.171,0.648,0.457,0.267,0.362,0.114,0.038,0.181,0.419,0.581
Seq_18,0.136,0.133,0.731,0.218,0.478,0.409,0.042,0.088,0.133,0.136,0.731,0.472,0.214,0.376,0.141,0.033,0.245,0.514,0.486
Seq_19,0.121,0.139,0.739,0.2,0.509,0.43,0.055,0.073,0.139,0.121,0.739,0.448,0.206,0.467,0.17,0.018,0.339,0.624,0.376
Seq_20,0.227,0.07,0.703,0.18,0.516,0.5,0.023,0.023,0.07,0.227,0.703,0.461,0.258,0.352,0.125,0.008,0.32,0.5,0.5
Seq_21,0.227,0.07,0.703,0.188,0.508,0.492,0.023,0.023,0.07,0.227,0.703,0.453,0.258,0.359,0.133,0.008,0.312,0.5,0.5
Seq_22,0.168,0.143,0.689,0.148,0.485,0.393,0.02,0.077,0.143,0.168,0.689,0.469,0.245,0.321,0.092,0.031,0.194,0.362,0.638
Seq_23,0.099,0.099,0.802,0.269,0.473,0.409,0.092,0.065,0.099,0.099,0.802,0.477,0.251,0.415,0.149,0.033,0.226,0.562,0.438
Seq_24,0.164,0.141,0.695,0.205,0.453,0.349,0.04,0.104,0.141,0.164,0.695,0.466,0.242,0.362,0.128,0.047,0.168,0.446,0.554
Seq_25,0.162,0.17,0.667,0.225,0.386,0.303,0.033,0.076,0.17,0.162,0.667,0.405,0.252,0.413,0.147,0.045,0.196,0.476,0.524
Seq_26,0.157,0.173,0.669,0.189,0.417,0.331,0.016,0.071,0.173,0.157,0.669,0.417,0.236,0.362,0.126,0.047,0.22,0.433,0.567
Seq_27,0.129,0.102,0.769,0.231,0.49,0.401,0.102,0.102,0.102,0.129,0.769,0.531,0.279,0.306,0.129,0.054,0.204,0.524,0.476
Seq_28,0.196,0.112,0.692,0.159,0.505,0.467,0.037,0.009,0.112,0.196,0.692,0.43,0.262,0.364,0.112,0.028,0.308,0.467,0.533
Seq_29,0.14,0.129,0.731,0.228,0.45,0.36,0.025,0.099,0.129,0.14,0.731,0.474,0.218,0.362,0.136,0.038,0.251,0.483,0.517
Seq_30,0.185,0.154,0.66,0.179,0.444,0.389,0.056,0.049,0.154,0.185,0.66,0.377,0.278,0.426,0.13,0.025,0.309,0.549,0.451
Seq_31,0.119,0.091,0.79,0.257,0.47,0.39,0.076,0.102,0.091,0.119,0.79,0.49,0.257,0.383,0.155,0.026,0.234,0.574,0.426
Seq_32,0.116,0.092,0.792,0.227,0.488,0.403,0.084,0.106,0.092,0.116,0.792,0.491,0.276,0.362,0.138,0.025,0.22,0.578,0.422
Seq_33,0.154,0.093,0.753,0.242,0.499,0.436,0.097,0.079,0.093,0.154,0.753,0.474,0.263,0.37,0.141,0.05,0.309,0.553,0.447
Seq_34,0.111,0.083,0.806,0.25,0.472,0.403,0.014,0.028,0.083,0.111,0.806,0.417,0.208,0.431,0.139,0.042,0.306,0.5,0.5
Seq_35,0.136,0.109,0.755,0.218,0.499,0.417,0.103,0.055,0.109,0.136,0.755,0.459,0.277,0.382,0.126,0.063,0.262,0.562,0.438
