ID,PAAC1_A,PAAC1_C,PAAC1_D,PAAC1_E,PAAC1_F,PAAC1_G,PAAC1_H,PAAC1_I,PAAC1_K,PAAC1_L,PAAC1_M,PAAC1_N,PAAC1_P,PAAC1_Q,PAAC1_R,PAAC1_S,PAAC1_T,PAAC1_V,PAAC1_W,PAAC1_Y,PAAC1_lam1
Seq_1,0.0,33.3021,5.4003,33.3021,16.201,48.603,36.0022,2.7002,22.5014,30.6019,0.0,3.6002,15.301,26.1016,62.1039,32.402,36.9023,27.0017,6.3004,17.1011,0.0999
Seq_2,38.2946,7.4721,15.8782,18.6803,24.2844,31.7565,10.2742,14.9442,17.7463,28.0204,11.2082,14.9442,64.447,24.2844,20.5483,84.0613,42.9647,13.0762,0.934,14.0102,0.066
Seq_3,37.8907,4.6208,9.2416,23.1041,11.0899,52.6773,29.5732,3.6966,14.7866,24.9524,5.545,4.6208,24.9524,12.0141,17.5591,24.9524,6.4691,11.0899,0.9242,6.4691,0.0758
Seq_4,28.5829,5.5322,6.4542,33.193,4.6101,45.1794,5.5322,14.7525,13.8304,34.1151,3.6881,9.2203,38.7252,17.5185,21.2067,25.8168,21.2067,31.349,8.2983,3.6881,0.078
Seq_5,56.2226,3.6273,24.484,19.9499,16.3227,27.2045,9.975,22.6704,12.6954,48.0612,6.3477,12.6954,31.7385,38.9931,28.1113,22.6704,15.4159,12.6954,16.3227,12.6954,0.0932
Seq_6,19.1418,18.2303,9.1151,23.6994,19.1418,21.8763,12.7612,8.2036,30.9915,23.6994,5.4691,16.4072,22.7878,20.0533,36.4605,39.1951,23.6994,20.9648,2.7345,9.1151,0.0885
Seq_7,39.4137,10.0826,27.4979,49.4962,27.4979,39.4137,16.4987,19.2485,30.2477,39.4137,15.5821,23.8315,46.7464,28.4145,34.8307,68.7447,31.1643,43.08,10.9992,7.3328,0.0834
Seq_8,19.9845,5.4503,23.6181,29.0684,13.6258,26.3432,7.2671,8.1755,23.6181,32.702,7.2671,11.809,19.9845,14.5342,22.7097,37.2439,18.1678,12.7174,8.1755,12.7174,0.0916
Seq_9,55.8669,0.9011,40.5486,45.054,6.3076,22.527,2.7032,18.0216,30.6367,39.6475,6.3076,4.5054,16.2194,19.8237,29.7356,18.0216,26.1313,25.2302,3.6043,8.1097,0.0989
Seq_10,2.6645,0.0,3.5527,9.7698,1.7763,4.4408,0.8882,4.4408,7.9935,7.1053,1.7763,3.5527,1.7763,0.0,2.6645,3.5527,1.7763,2.6645,2.6645,0.8882,0.1118
Seq_11,30.2629,12.8388,42.1846,29.3458,19.2582,44.9358,15.59,33.014,34.8481,45.8528,17.4241,21.0923,39.4334,16.507,32.097,61.4428,33.9311,26.5946,3.6682,13.7558,0.0829
Seq_12,80.3517,15.5225,52.046,34.6973,22.8272,30.1319,22.8272,26.4796,21.9141,76.6994,14.6094,33.7843,46.5675,37.4366,55.6984,71.2209,40.1759,32.8712,17.3487,16.4356,0.0869
Seq_13,12.5627,4.4867,8.9734,11.6654,5.384,8.9734,6.2814,8.076,6.2814,14.3574,1.7947,1.7947,2.692,4.4867,14.3574,4.4867,8.9734,8.076,4.4867,1.7947,0.1027
Seq_14,47.8191,35.8643,29.4271,32.1859,14.7136,45.0603,7.3568,8.2764,37.7035,37.7035,4.598,5.5176,58.8542,30.3467,57.015,33.1055,29.4271,26.6683,7.3568,7.3568,0.0804
Seq_15,27.2382,0.0,3.6318,5.4476,0.9079,7.2635,1.8159,5.4476,52.6605,5.4476,1.8159,2.7238,14.527,4.5397,6.3556,19.0667,5.4476,10.8953,0.0,2.7238,0.0921
Seq_16,60.939,12.7335,56.3913,68.2153,27.2861,64.5771,17.2812,43.6578,114.6016,81.8583,22.7384,32.7433,40.0196,30.9242,30.0147,77.3106,38.2005,61.8485,11.824,29.1052,0.0905
Seq_17,7.2437,0.9055,4.5273,12.6764,1.8109,3.6218,2.7164,6.3382,7.2437,8.1491,2.7164,3.6218,5.4327,2.7164,6.3382,5.4327,5.4327,3.6218,1.8109,2.7164,0.0945
Seq_18,72.7078,10.9062,55.4397,73.6167,37.2627,75.4343,18.177,57.2574,64.5282,79.0697,20.9035,34.5362,40.8981,24.5389,49.9866,79.0697,58.1662,72.7078,9.0885,39.0804,0.0912
Seq_19,14.52,0.9075,8.1675,12.705,7.26,20.8726,0.0,3.63,5.445,6.3525,1.815,4.5375,8.1675,2.7225,12.705,14.52,10.89,10.89,2.7225,0.9075,0.0925
Seq_20,16.2488,0.0,3.6108,4.5136,0.9027,13.5407,5.4163,8.1244,12.6379,10.8325,0.9027,0.9027,2.7081,4.5136,8.1244,7.2217,7.2217,6.319,0.0,1.8054,0.0973
Seq_21,14.4628,0.0,3.6157,4.5196,0.9039,13.5589,5.4235,8.1353,12.6549,10.8471,0.9039,0.9039,2.7118,4.5196,8.1353,8.1353,7.2314,7.2314,0.0,1.8078,0.0961
Seq_22,15.2579,0.0,5.3852,19.7456,9.8728,8.0777,1.7951,12.5654,8.9753,24.2332,5.3852,9.8728,3.5901,7.1802,18.848,10.7703,5.3852,5.3852,0.8975,2.6926,0.1025
Seq_23,35.0955,8.3121,32.3248,31.4012,25.8598,52.6432,12.0063,28.6305,24.9363,48.949,12.9299,38.7897,59.1082,54.4903,26.7834,48.949,47.1018,38.7897,1.8471,13.8535,0.0764
Seq_24,10.8782,1.813,19.0368,19.0368,15.4107,17.2238,5.4391,21.7563,26.2889,17.2238,10.8782,9.9717,10.8782,8.1586,12.6912,15.4107,19.0368,16.3172,1.813,10.8782,0.0935
Seq_25,19.1469,6.3823,38.2939,41.0291,16.4117,26.441,11.8529,24.6175,39.2056,34.6468,14.5881,26.441,15.4999,18.2352,24.6175,39.2056,29.1763,20.9705,7.2941,11.8529,0.0882
Seq_26,9.139,0.9139,4.5695,15.5362,5.4834,3.6556,1.8278,6.3973,10.0529,9.139,4.5695,7.3112,1.8278,3.6556,6.3973,11.8807,2.7417,8.2251,0.0,2.7417,0.0861
Seq_27,8.2445,3.6642,10.9926,2.7482,5.4963,5.4963,2.7482,10.9926,7.3284,10.9926,3.6642,6.4124,13.7408,4.5803,7.3284,10.0766,7.3284,4.5803,2.7482,5.4963,0.0839
Seq_28,11.7389,0.0,0.903,9.9329,0.903,9.0299,1.806,4.515,7.2239,9.9329,2.709,2.709,3.612,4.515,9.9329,9.0299,1.806,6.3209,0.0,0.0,0.09699999999999999
