ID,APAAC1_A,APAAC1_C,APAAC1_D,APAAC1_E,APAAC1_F,APAAC1_G,APAAC1_H,APAAC1_I,APAAC1_K,APAAC1_L,APAAC1_M,APAAC1_N,APAAC1_P,APAAC1_Q,APAAC1_R,APAAC1_S,APAAC1_T,APAAC1_V,APAAC1_W,APAAC1_Y,APAAC1_HB_lam1,APAAC1_HL_lam1,APAAC1_SC_lam1
Seq_1,0.0,36.6323,5.9404,36.6323,17.8211,53.4634,39.6025,2.9702,24.7516,33.6622,0.0,3.9603,16.8311,28.7118,68.3144,35.6423,40.5926,29.7019,6.9304,18.8112,0.0115,0.0143,-0.0158
Seq_2,40.4446,7.8916,16.7697,19.7291,25.6478,33.5394,10.851,15.7833,18.7426,29.5936,11.8374,15.7833,68.0653,25.6478,21.702,88.7808,45.3769,13.8103,0.9865,14.7968,0.0008,0.001,0.0118
Seq_3,39.8756,4.8629,9.7258,24.3144,11.6709,55.4369,31.1225,3.8903,15.5612,26.2596,5.8355,4.8629,26.2596,12.6435,18.479,26.2596,6.808,11.6709,0.9726,6.808,-0.001,0.0007,0.0277
Seq_4,30.3099,5.8664,6.8442,35.1986,4.8887,47.9092,5.8664,15.6438,14.6661,36.1763,3.911,9.7774,41.065,18.577,22.488,27.3767,22.488,33.2431,8.7996,3.911,0.0046,0.004,0.0137
Seq_5,61.8264,3.9888,26.9244,21.9384,17.9496,29.916,10.9692,24.93,13.9608,52.8516,6.9804,13.9608,34.902,42.8796,30.9132,24.93,16.9524,13.9608,17.9496,13.9608,-0.0002,-0.0021,0.0051
Seq_6,20.7298,19.7427,9.8714,25.6655,20.7298,23.6913,13.8199,8.8842,33.5626,25.6655,5.9228,17.7684,24.6784,21.717,39.4854,42.4468,25.6655,22.7041,2.9614,9.8714,0.0047,0.0053,0.0028
Seq_7,42.63,10.9053,29.7418,53.5353,29.7418,42.63,17.8451,20.8193,32.716,42.63,16.8537,25.7763,50.5611,30.7332,37.673,74.3546,33.7074,46.5955,11.8967,7.9312,-0.0,0.0014,0.0072
Seq_8,21.8117,5.9486,25.7774,31.7261,14.8716,28.7518,7.9315,8.923,25.7774,35.6918,7.9315,12.8887,21.8117,15.863,24.786,40.649,19.8288,13.8802,8.923,13.8802,0.0032,0.0039,0.0015
Seq_9,61.7382,0.9958,44.81,49.7889,6.9704,24.8944,2.9873,19.9156,33.8564,43.8142,6.9704,4.9789,17.924,21.9071,32.8607,19.9156,28.8776,27.8818,3.9831,8.962,-0.004,0.0066,0.0016
Seq_10,3.0386,0.0,4.0514,11.1414,2.0257,5.0643,1.0129,5.0643,9.1157,8.1028,2.0257,4.0514,2.0257,0.0,3.0386,4.0514,2.0257,3.0386,3.0386,1.0129,-0.0038,-0.0019,-0.0072
Seq_11,32.6801,13.8643,45.5541,31.6898,20.7964,48.525,16.8352,35.651,37.6316,49.5153,18.8158,22.777,42.5832,17.8255,34.6607,66.3505,36.6413,28.7189,3.9612,14.8546,0.001,0.0025,0.0062
Seq_12,87.3698,16.8783,56.5918,37.7279,24.821,32.7637,24.821,28.7923,23.8281,83.3984,15.8854,36.735,50.6348,40.7064,60.5631,77.4414,43.6849,35.7422,18.8639,17.8711,0.0023,0.0022,0.0027
Seq_13,13.8683,4.953,9.906,12.8777,5.9436,9.906,6.9342,8.9154,6.9342,15.8495,1.9812,1.9812,2.9718,4.953,15.8495,4.953,9.906,8.9154,4.953,1.9812,0.0019,0.006,0.0016
Seq_14,50.1922,37.6441,30.8875,33.7832,15.4437,47.2965,7.7219,8.6871,39.5746,39.5746,4.8262,5.7914,61.775,31.8527,59.8445,34.7484,30.8875,27.9918,7.7219,7.7219,0.0124,0.0092,0.0131
Seq_15,29.4532,0.0,3.9271,5.8906,0.9818,7.8542,1.9635,5.8906,56.9428,5.8906,1.9635,2.9453,15.7084,4.9089,6.8724,20.6172,5.8906,11.7813,0.0,2.9453,0.0003,0.0106,0.0073
Seq_16,66.7325,13.9441,61.7525,74.7006,29.8802,70.7166,18.9241,47.8084,125.497,89.6407,24.9002,35.8563,43.8243,33.8643,32.8683,84.6607,41.8323,67.7285,12.9481,31.8722,-0.0024,0.002,0.0044
Seq_17,7.9642,0.9955,4.9776,13.9373,1.991,3.9821,2.9866,6.9686,7.9642,8.9597,2.9866,3.9821,5.9731,2.9866,6.9686,5.9731,5.9731,3.9821,1.991,2.9866,0.0027,0.0052,-0.0034
Seq_18,79.7514,11.9627,60.8105,80.7483,40.8726,82.7421,19.9379,62.8042,70.7794,86.7297,22.9285,37.8819,44.8602,26.9161,54.8291,86.7297,63.8011,79.7514,9.9689,42.8664,-0.0008,0.0012,0.0028
Seq_19,15.6684,0.9793,8.8135,13.7098,7.8342,22.5233,0.0,3.9171,5.8756,6.8549,1.9585,4.8964,8.8135,2.9378,13.7098,15.6684,11.7513,11.7513,2.9378,0.9793,-0.0013,0.0017,0.0203
Seq_20,17.8843,0.0,3.9743,4.9679,0.9936,14.9036,5.9614,8.9422,13.91,11.9229,0.9936,0.9936,2.9807,4.9679,8.9422,7.9486,7.9486,6.955,0.0,1.9871,-0.0056,-0.0002,0.0122
Seq_21,15.8753,0.0,3.9688,4.961,0.9922,14.8831,5.9532,8.9298,13.8909,11.9064,0.9922,0.9922,2.9766,4.961,8.9298,8.9298,7.9376,7.9376,0.0,1.9844,-0.0045,0.0004,0.0119
Seq_22,16.9186,0.0,5.9713,21.8947,10.9473,8.9569,1.9904,13.933,9.9521,26.8708,5.9713,10.9473,3.9809,7.9617,20.8995,11.9426,5.9713,5.9713,0.9952,2.9856,-0.003,0.0044,0.0034
Seq_23,37.8606,8.967,34.8716,33.8753,27.8973,56.7909,12.9523,30.8863,26.901,52.8056,13.9486,41.8459,63.7652,58.7836,28.8936,52.8056,50.8129,41.8459,1.9927,14.945,-0.0025,-0.0003,0.0065
Seq_24,12.0033,2.0005,21.0057,21.0057,17.0046,19.0052,6.0016,24.0065,29.0079,19.0052,12.0033,11.003,12.0033,9.0024,14.0038,17.0046,21.0057,18.0049,2.0005,12.0033,-0.0012,-0.0008,0.0017
Seq_25,20.8208,6.9403,41.6417,44.6161,17.8464,28.7526,12.8891,26.7697,42.6332,37.6758,15.8635,28.7526,16.855,19.8294,26.7697,42.6332,31.727,22.8038,7.9318,12.8891,0.0008,0.0052,0.0025
Seq_26,9.8692,0.9869,4.9346,16.7777,5.9215,3.9477,1.9738,6.9084,10.8561,9.8692,4.9346,7.8954,1.9738,3.9477,6.9084,12.83,2.9608,8.8823,0.0,2.9608,0.0022,0.0065,0.0044
Seq_27,8.9419,3.9742,11.9225,2.9806,5.9613,5.9613,2.9806,11.9225,7.9483,11.9225,3.9742,6.9548,14.9032,4.9677,7.9483,10.929,7.9483,4.9677,2.9806,5.9613,-0.0006,0.0024,0.0047
Seq_28,12.8111,0.0,0.9855,10.8402,0.9855,9.8547,1.9709,4.9273,7.8838,10.8402,2.9564,2.9564,3.9419,4.9273,10.8402,9.8547,1.9709,6.8983,0.0,0.0,0.0023,0.0011,0.0112
Seq_29,56.6026,13.9024,30.7838,46.6723,33.7629,31.7769,14.8954,19.8605,39.7211,64.5468,8.9372,31.7769,14.8954,26.8117,29.7908,48.6583,32.7699,28.7978,10.9233,14.8954,0.0004,0.004,0.0026
Seq_30,17.5722,0.0,10.7385,13.6672,3.9049,17.5722,0.9762,8.7861,21.4771,2.9287,3.9049,5.8574,8.7861,4.8812,6.8336,13.6672,6.8336,5.8574,0.9762,2.9287,0.0015,0.0093,0.013000000000000001
Seq_31,60.7827,5.9786,42.8468,23.9145,29.8931,59.7863,19.9288,28.8967,34.8753,44.8397,12.9537,45.8362,55.8005,39.8575,31.886,44.8397,68.7542,34.8753,15.943,28.8967,-0.0018,-0.0001,0.0055
Seq_32,53.6044,3.9707,39.707,26.8022,32.7582,63.5311,14.8901,30.7729,36.7289,41.6923,13.8974,55.5897,60.5531,31.7656,31.7656,37.7216,61.5458,40.6996,14.8901,28.7875,-0.0007,0.001,0.006999999999999999
Seq_33,33.6377,22.7549,23.7443,27.7016,17.8082,56.3926,14.8402,8.9041,23.7443,58.3713,4.9467,6.9254,53.4246,18.7975,46.4992,58.3713,19.7869,30.6697,11.8721,13.8508,0.0004,0.0012,0.009000000000000001
