Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
1,0.271,0.377,0.352,0.186,0.271,0.306,0.231,0.352,0.462,0.362,0.336,0.302,0.304,0.255,0.336,0.085,0.172,0.292,0.409,0.265,0.729
2,0.229,0.373,0.199,0.077,0.428,0.236,0.424,0.199,0.34,0.319,0.225,0.456,0.557,0.201,0.225,0.069,0.246,0.229,0.574,0.098,0.854
3,0.244,0.334,0.263,0.099,0.402,0.136,0.357,0.263,0.507,0.45,0.249,0.3,0.479,0.19,0.249,0.099,0.198,0.21,0.561,0.19,0.802
4,0.376,0.495,0.163,0.094,0.342,0.24,0.337,0.163,0.423,0.463,0.272,0.265,0.446,0.275,0.272,0.106,0.265,0.285,0.453,0.109,0.8
5,0.353,0.434,0.233,0.093,0.333,0.227,0.271,0.233,0.502,0.463,0.312,0.225,0.405,0.287,0.312,0.101,0.236,0.316,0.401,0.116,0.806
6,0.295,0.401,0.304,0.176,0.295,0.266,0.285,0.304,0.449,0.349,0.356,0.295,0.354,0.257,0.356,0.086,0.216,0.28,0.387,0.209,0.739
7,0.334,0.427,0.235,0.107,0.338,0.245,0.338,0.235,0.417,0.376,0.319,0.305,0.415,0.272,0.319,0.126,0.244,0.284,0.409,0.134,0.767
8,0.307,0.379,0.269,0.13,0.353,0.223,0.335,0.269,0.442,0.358,0.353,0.289,0.409,0.248,0.353,0.148,0.212,0.284,0.399,0.151,0.721
9,0.363,0.403,0.208,0.144,0.388,0.21,0.242,0.208,0.547,0.41,0.406,0.185,0.427,0.238,0.406,0.204,0.204,0.258,0.356,0.15,0.652
10,0.431,0.458,0.292,0.167,0.25,0.222,0.264,0.292,0.514,0.403,0.431,0.167,0.278,0.319,0.431,0.208,0.236,0.333,0.25,0.181,0.625
11,0.3,0.391,0.238,0.117,0.371,0.249,0.364,0.238,0.387,0.377,0.307,0.316,0.439,0.276,0.307,0.125,0.185,0.3,0.417,0.144,0.759
12,0.323,0.406,0.229,0.104,0.365,0.229,0.312,0.229,0.459,0.403,0.314,0.283,0.428,0.275,0.314,0.116,0.203,0.297,0.41,0.134,0.781
13,0.346,0.397,0.288,0.147,0.314,0.295,0.192,0.288,0.513,0.474,0.34,0.186,0.333,0.333,0.34,0.147,0.147,0.346,0.327,0.192,0.705
14,0.253,0.423,0.245,0.17,0.332,0.233,0.309,0.245,0.458,0.402,0.345,0.253,0.438,0.243,0.345,0.111,0.228,0.256,0.412,0.183,0.719
15,0.194,0.276,0.372,0.332,0.352,0.143,0.265,0.372,0.592,0.321,0.423,0.255,0.434,0.138,0.423,0.051,0.153,0.153,0.439,0.342,0.617
16,0.346,0.403,0.274,0.157,0.322,0.244,0.294,0.274,0.463,0.395,0.361,0.244,0.366,0.284,0.361,0.135,0.186,0.316,0.355,0.176,0.708
17,0.39,0.457,0.267,0.143,0.276,0.238,0.238,0.267,0.524,0.352,0.39,0.257,0.333,0.267,0.39,0.181,0.257,0.295,0.343,0.171,0.676
18,0.351,0.404,0.246,0.118,0.35,0.292,0.293,0.246,0.415,0.426,0.311,0.263,0.392,0.295,0.311,0.133,0.178,0.335,0.394,0.136,0.75
19,0.273,0.333,0.206,0.121,0.461,0.248,0.376,0.206,0.376,0.448,0.309,0.242,0.515,0.224,0.309,0.139,0.188,0.23,0.467,0.121,0.739
20,0.305,0.328,0.258,0.18,0.414,0.211,0.242,0.258,0.547,0.484,0.297,0.219,0.438,0.234,0.297,0.07,0.109,0.25,0.469,0.227,0.75
21,0.313,0.336,0.258,0.18,0.406,0.219,0.25,0.258,0.531,0.477,0.297,0.227,0.43,0.242,0.297,0.07,0.109,0.258,0.461,0.227,0.75
22,0.449,0.469,0.276,0.158,0.255,0.209,0.214,0.276,0.577,0.434,0.398,0.168,0.276,0.332,0.398,0.143,0.23,0.347,0.27,0.168,0.699
23,0.375,0.48,0.184,0.08,0.336,0.256,0.361,0.184,0.384,0.374,0.325,0.302,0.428,0.257,0.325,0.099,0.286,0.279,0.418,0.099,0.82
24,0.342,0.389,0.309,0.144,0.302,0.322,0.268,0.309,0.409,0.379,0.352,0.268,0.342,0.315,0.352,0.141,0.178,0.356,0.332,0.164,0.715
25,0.356,0.403,0.27,0.137,0.327,0.25,0.313,0.27,0.436,0.335,0.403,0.262,0.36,0.268,0.403,0.17,0.217,0.294,0.329,0.162,0.693
26,0.433,0.457,0.268,0.142,0.276,0.228,0.252,0.268,0.52,0.37,0.409,0.22,0.291,0.299,0.409,0.173,0.244,0.323,0.291,0.157,0.685
27,0.299,0.429,0.259,0.109,0.313,0.299,0.347,0.259,0.354,0.388,0.293,0.32,0.415,0.313,0.293,0.102,0.204,0.354,0.395,0.129,0.789
28,0.393,0.43,0.234,0.178,0.336,0.14,0.262,0.234,0.598,0.439,0.364,0.196,0.374,0.252,0.364,0.112,0.215,0.252,0.383,0.196,0.71
29,0.364,0.412,0.255,0.116,0.334,0.258,0.263,0.255,0.479,0.433,0.342,0.225,0.359,0.301,0.342,0.129,0.2,0.326,0.357,0.14,0.755
30,0.265,0.321,0.259,0.179,0.42,0.185,0.358,0.259,0.457,0.364,0.401,0.235,0.475,0.167,0.401,0.154,0.21,0.185,0.432,0.185,0.667
31,0.298,0.383,0.238,0.091,0.379,0.292,0.341,0.238,0.368,0.384,0.3,0.316,0.455,0.237,0.3,0.091,0.226,0.277,0.463,0.119,0.817
32,0.315,0.404,0.241,0.095,0.355,0.296,0.356,0.241,0.348,0.391,0.308,0.301,0.439,0.248,0.308,0.092,0.242,0.287,0.444,0.116,0.813
33,0.274,0.411,0.242,0.127,0.347,0.227,0.36,0.242,0.413,0.435,0.267,0.299,0.444,0.281,0.267,0.093,0.193,0.306,0.453,0.154,0.78
34,0.444,0.458,0.181,0.097,0.361,0.167,0.306,0.181,0.528,0.417,0.375,0.208,0.375,0.25,0.375,0.083,0.278,0.25,0.375,0.111,0.819
35,0.283,0.398,0.241,0.073,0.361,0.187,0.392,0.241,0.421,0.358,0.277,0.365,0.463,0.247,0.277,0.109,0.233,0.27,0.476,0.136,0.818
36,0.486,0.542,0.222,0.125,0.236,0.194,0.264,0.222,0.542,0.389,0.417,0.194,0.278,0.347,0.417,0.181,0.25,0.361,0.236,0.153,0.694
37,0.329,0.405,0.203,0.127,0.392,0.228,0.342,0.203,0.43,0.43,0.316,0.253,0.468,0.291,0.316,0.152,0.177,0.304,0.392,0.127,0.722
38,0.306,0.355,0.278,0.153,0.367,0.27,0.3,0.278,0.429,0.361,0.347,0.292,0.407,0.252,0.347,0.099,0.169,0.28,0.401,0.183,0.748
39,0.33,0.381,0.242,0.135,0.377,0.27,0.209,0.242,0.521,0.484,0.274,0.242,0.419,0.302,0.274,0.107,0.135,0.326,0.423,0.163,0.758
40,0.389,0.454,0.284,0.127,0.262,0.275,0.245,0.284,0.48,0.402,0.341,0.258,0.323,0.341,0.341,0.162,0.218,0.362,0.319,0.157,0.712
41,0.362,0.458,0.234,0.116,0.308,0.233,0.313,0.234,0.454,0.346,0.347,0.307,0.388,0.248,0.347,0.127,0.264,0.27,0.404,0.157,0.756
42,0.309,0.346,0.316,0.243,0.338,0.213,0.199,0.316,0.588,0.397,0.39,0.213,0.375,0.235,0.39,0.081,0.154,0.25,0.375,0.257,0.676
43,0.301,0.36,0.316,0.228,0.324,0.235,0.169,0.316,0.596,0.412,0.375,0.213,0.368,0.25,0.375,0.081,0.162,0.272,0.375,0.243,0.691
44,0.301,0.353,0.316,0.228,0.331,0.228,0.176,0.316,0.596,0.404,0.375,0.221,0.375,0.243,0.375,0.081,0.162,0.265,0.382,0.243,0.691
45,0.301,0.353,0.309,0.228,0.338,0.228,0.184,0.309,0.588,0.412,0.375,0.213,0.382,0.235,0.375,0.081,0.162,0.257,0.39,0.243,0.691
46,0.319,0.378,0.289,0.215,0.333,0.237,0.185,0.289,0.578,0.407,0.37,0.222,0.378,0.244,0.37,0.081,0.17,0.267,0.385,0.23,0.704
47,0.309,0.368,0.324,0.235,0.309,0.243,0.154,0.324,0.603,0.412,0.382,0.206,0.353,0.257,0.382,0.081,0.162,0.279,0.36,0.25,0.684
48,0.434,0.495,0.269,0.139,0.236,0.239,0.21,0.269,0.55,0.417,0.366,0.217,0.291,0.307,0.366,0.107,0.236,0.333,0.327,0.194,0.754
49,0.297,0.372,0.249,0.111,0.379,0.232,0.336,0.249,0.432,0.399,0.326,0.275,0.435,0.227,0.326,0.159,0.196,0.242,0.447,0.184,0.729
50,0.346,0.441,0.222,0.105,0.338,0.27,0.303,0.222,0.427,0.438,0.316,0.246,0.4,0.303,0.316,0.13,0.214,0.327,0.381,0.122,0.765
51,0.323,0.457,0.221,0.11,0.323,0.258,0.338,0.221,0.405,0.381,0.288,0.331,0.418,0.294,0.288,0.102,0.229,0.32,0.418,0.128,0.788
52,0.397,0.423,0.192,0.115,0.385,0.308,0.256,0.192,0.436,0.462,0.308,0.231,0.397,0.333,0.308,0.115,0.141,0.359,0.359,0.115,0.769
53,0.466,0.511,0.159,0.102,0.33,0.188,0.25,0.159,0.563,0.398,0.42,0.182,0.352,0.261,0.42,0.165,0.29,0.267,0.318,0.114,0.733
54,0.382,0.436,0.267,0.129,0.297,0.279,0.248,0.267,0.473,0.404,0.356,0.24,0.324,0.314,0.356,0.123,0.203,0.347,0.33,0.153,0.747
55,0.449,0.449,0.179,0.128,0.372,0.231,0.256,0.179,0.513,0.474,0.359,0.167,0.372,0.295,0.359,0.128,0.192,0.295,0.346,0.141,0.744
56,0.376,0.449,0.193,0.091,0.358,0.242,0.272,0.193,0.487,0.449,0.301,0.25,0.426,0.283,0.301,0.116,0.236,0.302,0.417,0.104,0.792
57,0.384,0.452,0.256,0.116,0.292,0.318,0.284,0.256,0.398,0.407,0.349,0.244,0.339,0.315,0.349,0.125,0.228,0.346,0.336,0.134,0.759
58,0.358,0.416,0.267,0.117,0.317,0.27,0.249,0.267,0.481,0.437,0.314,0.249,0.364,0.308,0.314,0.126,0.199,0.343,0.378,0.141,0.757
59,0.398,0.442,0.284,0.159,0.274,0.236,0.269,0.284,0.494,0.365,0.422,0.213,0.31,0.286,0.422,0.168,0.227,0.321,0.291,0.179,0.672
60,0.398,0.511,0.203,0.083,0.286,0.429,0.271,0.203,0.301,0.451,0.241,0.308,0.331,0.383,0.241,0.023,0.195,0.414,0.376,0.105,0.895
61,0.374,0.434,0.278,0.141,0.288,0.318,0.253,0.278,0.429,0.444,0.308,0.247,0.333,0.333,0.308,0.081,0.172,0.379,0.359,0.162,0.778
62,0.452,0.492,0.302,0.175,0.206,0.262,0.262,0.302,0.476,0.333,0.437,0.23,0.23,0.31,0.437,0.111,0.262,0.325,0.254,0.206,0.714
63,0.347,0.395,0.219,0.1,0.386,0.212,0.328,0.219,0.46,0.377,0.33,0.293,0.423,0.228,0.33,0.107,0.228,0.253,0.442,0.133,0.793
64,0.401,0.445,0.325,0.151,0.229,0.318,0.253,0.325,0.428,0.414,0.404,0.182,0.253,0.346,0.404,0.168,0.209,0.401,0.25,0.161,0.682
65,0.298,0.459,0.265,0.096,0.276,0.216,0.349,0.265,0.435,0.331,0.318,0.351,0.416,0.241,0.318,0.131,0.304,0.29,0.441,0.129,0.773
66,0.306,0.442,0.294,0.107,0.264,0.237,0.34,0.294,0.423,0.304,0.344,0.352,0.377,0.249,0.344,0.134,0.294,0.302,0.407,0.14,0.759
67,0.427,0.511,0.212,0.104,0.277,0.204,0.292,0.212,0.503,0.345,0.375,0.28,0.353,0.261,0.375,0.118,0.305,0.286,0.364,0.132,0.779
68,0.336,0.426,0.244,0.112,0.33,0.286,0.31,0.244,0.404,0.388,0.314,0.298,0.394,0.286,0.314,0.114,0.218,0.32,0.4,0.132,0.774
69,0.32,0.37,0.28,0.181,0.349,0.207,0.312,0.28,0.481,0.326,0.398,0.276,0.392,0.229,0.398,0.143,0.196,0.255,0.373,0.199,0.676
70,0.36,0.427,0.291,0.127,0.282,0.26,0.278,0.291,0.462,0.384,0.364,0.251,0.328,0.312,0.364,0.148,0.215,0.349,0.323,0.154,0.725
71,0.297,0.404,0.21,0.102,0.386,0.266,0.384,0.21,0.35,0.368,0.269,0.363,0.486,0.228,0.269,0.087,0.217,0.271,0.504,0.125,0.811
72,0.357,0.393,0.325,0.154,0.282,0.315,0.275,0.325,0.41,0.384,0.364,0.252,0.308,0.321,0.364,0.141,0.161,0.384,0.315,0.174,0.705
73,0.338,0.448,0.187,0.087,0.365,0.204,0.384,0.187,0.412,0.371,0.287,0.342,0.465,0.276,0.287,0.129,0.233,0.291,0.437,0.112,0.784
74,0.333,0.417,0.228,0.116,0.354,0.207,0.346,0.228,0.447,0.439,0.323,0.238,0.402,0.283,0.323,0.106,0.201,0.307,0.394,0.138,0.778
75,0.321,0.457,0.207,0.105,0.336,0.274,0.339,0.207,0.388,0.47,0.274,0.256,0.43,0.305,0.274,0.1,0.223,0.316,0.421,0.125,0.795
76,0.401,0.493,0.14,0.08,0.367,0.22,0.273,0.14,0.507,0.504,0.271,0.225,0.441,0.294,0.271,0.079,0.221,0.297,0.435,0.114,0.841
77,0.369,0.424,0.278,0.139,0.298,0.255,0.257,0.278,0.488,0.416,0.353,0.231,0.337,0.325,0.353,0.141,0.194,0.347,0.322,0.161,0.72
78,0.339,0.408,0.277,0.114,0.315,0.284,0.249,0.277,0.467,0.422,0.311,0.266,0.374,0.304,0.311,0.118,0.194,0.353,0.384,0.138,0.768
79,0.26,0.282,0.29,0.145,0.427,0.176,0.328,0.29,0.496,0.389,0.344,0.267,0.45,0.183,0.344,0.145,0.176,0.229,0.473,0.168,0.71
80,0.311,0.411,0.274,0.137,0.315,0.219,0.251,0.274,0.53,0.493,0.26,0.247,0.397,0.297,0.26,0.096,0.183,0.329,0.443,0.174,0.767
81,0.332,0.432,0.251,0.113,0.317,0.246,0.315,0.251,0.44,0.405,0.321,0.274,0.384,0.297,0.321,0.12,0.219,0.327,0.382,0.137,0.767
82,0.35,0.476,0.188,0.095,0.336,0.239,0.39,0.188,0.371,0.35,0.276,0.374,0.457,0.278,0.276,0.093,0.26,0.297,0.445,0.107,0.812
83,0.329,0.433,0.24,0.11,0.327,0.236,0.327,0.24,0.437,0.4,0.286,0.314,0.403,0.305,0.286,0.106,0.206,0.325,0.409,0.143,0.784
84,0.379,0.451,0.244,0.116,0.305,0.282,0.305,0.244,0.412,0.382,0.342,0.276,0.356,0.312,0.342,0.127,0.214,0.342,0.346,0.139,0.758
85,0.379,0.421,0.284,0.139,0.296,0.244,0.308,0.284,0.448,0.369,0.389,0.242,0.323,0.3,0.389,0.127,0.212,0.327,0.312,0.165,0.734
86,0.399,0.435,0.256,0.117,0.31,0.235,0.243,0.256,0.522,0.428,0.36,0.212,0.338,0.299,0.36,0.135,0.218,0.331,0.342,0.142,0.749
87,0.356,0.435,0.277,0.109,0.288,0.31,0.255,0.277,0.435,0.351,0.315,0.334,0.337,0.291,0.315,0.098,0.22,0.332,0.394,0.16,0.793
88,0.562,0.585,0.208,0.138,0.208,0.262,0.223,0.208,0.515,0.4,0.438,0.162,0.215,0.354,0.438,0.154,0.262,0.392,0.208,0.138,0.708
89,0.409,0.455,0.263,0.115,0.282,0.339,0.261,0.263,0.4,0.43,0.337,0.233,0.314,0.356,0.337,0.143,0.187,0.397,0.307,0.134,0.741
90,0.476,0.513,0.226,0.085,0.261,0.151,0.512,0.226,0.337,0.241,0.475,0.284,0.284,0.224,0.475,0.076,0.369,0.248,0.301,0.122,0.839
91,0.397,0.463,0.28,0.15,0.257,0.28,0.266,0.28,0.453,0.364,0.374,0.262,0.304,0.318,0.374,0.126,0.229,0.35,0.308,0.164,0.724
92,0.348,0.42,0.247,0.117,0.332,0.186,0.311,0.247,0.503,0.351,0.362,0.287,0.391,0.229,0.362,0.122,0.261,0.266,0.41,0.141,0.761
93,0.42,0.449,0.261,0.167,0.29,0.225,0.181,0.261,0.594,0.341,0.464,0.196,0.297,0.239,0.464,0.181,0.268,0.261,0.297,0.181,0.652
94,0.298,0.438,0.239,0.117,0.323,0.209,0.356,0.239,0.435,0.331,0.318,0.351,0.438,0.242,0.318,0.127,0.265,0.265,0.44,0.148,0.756
95,0.305,0.434,0.251,0.124,0.315,0.238,0.315,0.251,0.447,0.359,0.307,0.333,0.413,0.264,0.307,0.127,0.238,0.295,0.429,0.152,0.749
96,0.432,0.439,0.266,0.122,0.295,0.245,0.216,0.266,0.54,0.331,0.403,0.266,0.302,0.281,0.403,0.137,0.237,0.324,0.317,0.144,0.741
97,0.444,0.457,0.235,0.136,0.309,0.198,0.21,0.235,0.593,0.531,0.358,0.111,0.321,0.383,0.358,0.16,0.148,0.383,0.259,0.16,0.704
98,0.34,0.446,0.278,0.151,0.276,0.248,0.257,0.278,0.495,0.316,0.402,0.282,0.345,0.238,0.402,0.162,0.264,0.263,0.36,0.197,0.686
99,0.306,0.434,0.285,0.178,0.28,0.21,0.285,0.285,0.505,0.332,0.419,0.248,0.358,0.239,0.419,0.159,0.248,0.264,0.341,0.207,0.663
100,0.393,0.454,0.238,0.132,0.308,0.201,0.215,0.238,0.584,0.483,0.322,0.195,0.367,0.306,0.322,0.154,0.206,0.34,0.372,0.145,0.714
101,0.393,0.453,0.234,0.111,0.314,0.284,0.3,0.234,0.415,0.368,0.341,0.291,0.358,0.301,0.341,0.125,0.228,0.331,0.358,0.128,0.764
102,0.327,0.408,0.253,0.106,0.339,0.258,0.306,0.253,0.435,0.387,0.302,0.311,0.408,0.26,0.302,0.108,0.226,0.302,0.438,0.134,0.786
103,0.381,0.415,0.22,0.11,0.364,0.186,0.263,0.22,0.551,0.432,0.28,0.288,0.398,0.297,0.28,0.102,0.178,0.322,0.424,0.136,0.788
104,0.392,0.485,0.24,0.111,0.275,0.257,0.175,0.24,0.567,0.439,0.333,0.228,0.316,0.327,0.333,0.14,0.216,0.345,0.339,0.164,0.749
105,0.314,0.438,0.257,0.103,0.305,0.234,0.365,0.257,0.401,0.342,0.335,0.323,0.401,0.257,0.335,0.124,0.264,0.298,0.408,0.133,0.773
106,0.39,0.467,0.235,0.108,0.298,0.268,0.273,0.235,0.459,0.412,0.334,0.254,0.343,0.323,0.334,0.152,0.224,0.351,0.343,0.127,0.74
107,0.248,0.393,0.204,0.107,0.403,0.173,0.39,0.204,0.437,0.374,0.302,0.324,0.519,0.204,0.302,0.138,0.233,0.233,0.494,0.132,0.755
108,0.441,0.459,0.321,0.195,0.221,0.281,0.188,0.321,0.531,0.421,0.431,0.148,0.231,0.333,0.431,0.17,0.198,0.368,0.236,0.213,0.634
109,0.348,0.377,0.275,0.217,0.348,0.217,0.188,0.275,0.594,0.478,0.391,0.13,0.377,0.29,0.391,0.174,0.13,0.29,0.319,0.232,0.609
110,0.428,0.49,0.247,0.109,0.263,0.276,0.247,0.247,0.477,0.424,0.306,0.27,0.322,0.332,0.306,0.112,0.224,0.375,0.362,0.138,0.78
111,0.442,0.476,0.259,0.136,0.265,0.197,0.211,0.259,0.592,0.367,0.367,0.265,0.293,0.327,0.367,0.143,0.211,0.367,0.306,0.156,0.721
112,0.396,0.471,0.218,0.133,0.311,0.218,0.303,0.218,0.479,0.343,0.394,0.263,0.37,0.258,0.394,0.12,0.261,0.269,0.348,0.16,0.747
113,0.254,0.394,0.239,0.113,0.366,0.232,0.345,0.239,0.423,0.405,0.268,0.327,0.482,0.211,0.268,0.081,0.239,0.264,0.521,0.13,0.806
114,0.4,0.47,0.233,0.123,0.298,0.247,0.276,0.233,0.477,0.426,0.325,0.25,0.346,0.334,0.325,0.129,0.198,0.357,0.341,0.148,0.748
115,0.332,0.431,0.255,0.136,0.314,0.2,0.332,0.255,0.468,0.343,0.342,0.316,0.396,0.241,0.342,0.119,0.242,0.269,0.418,0.175,0.746
116,0.336,0.418,0.272,0.117,0.31,0.27,0.298,0.272,0.432,0.39,0.322,0.289,0.376,0.286,0.322,0.11,0.223,0.319,0.392,0.148,0.772
117,0.317,0.392,0.238,0.075,0.37,0.223,0.268,0.238,0.509,0.385,0.306,0.309,0.442,0.211,0.306,0.094,0.249,0.253,0.483,0.128,0.83
118,0.303,0.333,0.303,0.167,0.364,0.303,0.227,0.303,0.47,0.394,0.348,0.258,0.394,0.242,0.348,0.091,0.167,0.288,0.409,0.182,0.742
119,0.356,0.457,0.253,0.105,0.291,0.242,0.311,0.253,0.446,0.392,0.317,0.291,0.356,0.305,0.317,0.125,0.23,0.345,0.378,0.133,0.77
120,0.257,0.419,0.207,0.101,0.374,0.14,0.388,0.207,0.472,0.422,0.271,0.307,0.525,0.184,0.271,0.101,0.279,0.207,0.545,0.14,0.799
121,0.336,0.427,0.204,0.1,0.369,0.199,0.328,0.204,0.473,0.428,0.291,0.281,0.447,0.256,0.291,0.122,0.217,0.282,0.453,0.132,0.778
122,0.456,0.456,0.304,0.165,0.241,0.278,0.228,0.304,0.494,0.405,0.367,0.228,0.241,0.405,0.367,0.152,0.152,0.43,0.228,0.177,0.684
123,0.405,0.462,0.213,0.116,0.325,0.268,0.246,0.213,0.486,0.481,0.325,0.194,0.37,0.319,0.325,0.148,0.203,0.332,0.356,0.14,0.736
124,0.402,0.443,0.289,0.175,0.268,0.286,0.21,0.289,0.504,0.399,0.388,0.213,0.303,0.318,0.388,0.111,0.21,0.332,0.294,0.19,0.714
125,0.388,0.464,0.192,0.091,0.344,0.289,0.342,0.192,0.369,0.356,0.33,0.314,0.403,0.281,0.33,0.135,0.229,0.313,0.388,0.115,0.774
126,0.476,0.524,0.189,0.14,0.287,0.266,0.231,0.189,0.503,0.427,0.364,0.21,0.322,0.336,0.364,0.126,0.21,0.343,0.301,0.161,0.734
127,0.409,0.436,0.255,0.141,0.309,0.35,0.236,0.255,0.414,0.423,0.345,0.232,0.332,0.314,0.345,0.127,0.173,0.368,0.341,0.15,0.732
128,0.338,0.442,0.208,0.09,0.35,0.256,0.381,0.208,0.363,0.363,0.283,0.355,0.426,0.274,0.283,0.09,0.234,0.306,0.443,0.111,0.819
129,0.291,0.415,0.153,0.092,0.432,0.15,0.343,0.153,0.507,0.473,0.245,0.282,0.55,0.21,0.245,0.092,0.242,0.225,0.545,0.101,0.816
130,0.226,0.361,0.26,0.097,0.379,0.219,0.395,0.26,0.386,0.334,0.219,0.447,0.488,0.221,0.219,0.056,0.201,0.253,0.56,0.167,0.847
131,0.374,0.414,0.31,0.167,0.276,0.299,0.276,0.31,0.425,0.391,0.374,0.236,0.299,0.27,0.374,0.103,0.19,0.316,0.356,0.218,0.73
132,0.441,0.478,0.259,0.13,0.263,0.283,0.263,0.259,0.453,0.413,0.389,0.198,0.291,0.356,0.389,0.146,0.198,0.381,0.255,0.158,0.725
