CLASS,Molecular Weight,Aromaticity,Isoelectric Point,Gravy,Helix,Turn,Sheet,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
DNA,59166.316,0.086956522,9.817648506,-1.042885375,0.21936758899999997,0.21936758899999997,0.140316206,0.0,7.31,1.19,7.31,3.56,10.67,7.91,0.59,4.94,6.72,0.0,0.79,3.36,5.73,13.64,7.11,8.1,5.93,1.38,3.75
DNA,56589.2021,0.07879925,8.516031837,-0.561350844,0.19136960600000003,0.392120075,0.19324577899999998,7.69,1.5,3.19,3.75,4.88,6.38,2.06,3.0,3.56,5.63,2.25,3.0,12.95,4.88,4.13,16.89,8.63,2.63,0.19,2.81
DNA,36981.5734,0.056657224000000006,7.492879677,-0.668555241,0.178470255,0.328611898,0.280453258,11.61,1.42,2.83,7.08,3.4,16.15,9.07,1.13,4.53,7.65,1.7,1.42,7.65,3.68,5.38,7.65,1.98,3.4,0.28,1.98
DNA,42802.1235,0.044554455,5.830623436000001,-0.306930693,0.25990099,0.319306931,0.267326733,7.67,1.49,1.73,8.91,1.24,12.13,1.49,3.96,3.71,9.16,0.99,2.48,10.4,4.7,5.69,6.93,5.69,8.42,2.23,0.99
DNA,54461.0777,0.103305785,6.277150536000001,-0.364876033,0.29338843,0.214876033,0.297520661,12.81,0.83,5.58,4.55,3.72,6.2,2.27,5.17,2.89,10.95,1.45,2.89,7.23,8.88,6.4,5.17,3.51,2.89,3.72,2.89
DNA,47958.1258,0.080760095,9.88173008,-0.825178147,0.21852731600000003,0.26128266,0.18764845600000002,4.99,4.75,2.38,6.18,4.99,5.7,3.33,2.14,8.08,6.18,1.43,4.28,5.94,5.23,9.5,10.21,6.18,5.46,0.71,2.38
DNA,73666.7426,0.07518797,5.837557792999999,-0.568571429,0.24210526300000001,0.293233083,0.23609022600000001,6.47,1.65,4.51,8.12,4.51,6.47,2.71,3.16,4.96,6.47,2.56,3.91,7.67,4.66,5.71,11.28,5.11,7.07,1.8,1.2
DNA,44272.8289,0.097186701,5.752071953,-0.808184143,0.24808184100000003,0.268542199,0.250639386,5.63,1.53,6.65,8.18,3.84,7.42,2.05,2.3,6.65,9.21,2.05,3.32,5.63,4.09,6.39,10.49,5.12,3.58,2.3,3.58
DNA,51503.0372,0.042918455,4.735222435,-0.614377682,0.240343348,0.145922747,0.34978540799999996,13.3,0.21,9.66,10.73,1.5,5.36,0.64,4.29,7.3,9.44,1.5,1.07,3.86,4.72,7.08,4.29,6.22,6.01,0.86,1.93
DNA,8404.4983,0.083333333,5.151283836,-0.719444444,0.305555556,0.208333333,0.333333333,4.17,0.0,5.56,15.28,2.78,6.94,1.39,6.94,12.5,11.11,2.78,5.56,2.78,0.0,4.17,5.56,2.78,4.17,4.17,1.39
DNA,68761.0101,0.06389776400000001,6.39946804,-0.486421725,0.247603834,0.290734824,0.214057508,5.27,2.24,7.35,5.11,3.35,7.83,2.72,5.75,6.07,7.99,3.04,3.67,6.87,2.88,5.59,10.7,5.91,4.63,0.64,2.4
DNA,91684.933,0.075517661,6.2183221820000005,-0.46272838,0.25700365399999997,0.242387333,0.275274056,10.72,2.07,6.94,4.63,3.05,4.02,3.05,3.53,2.92,10.23,1.95,4.51,6.21,4.99,7.43,9.5,5.36,4.38,2.31,2.19
DNA,18015.4138,0.083333333,7.048739815,-0.36025641,0.301282051,0.128205128,0.288461538,8.97,3.21,6.41,8.33,3.85,6.41,4.49,5.77,4.49,10.26,1.28,1.28,1.92,3.21,10.26,3.21,6.41,5.77,3.21,1.28
DNA,66606.496,0.052892562000000004,9.320984077,-0.764958678,0.18347107399999998,0.256198347,0.21983471100000002,8.6,6.45,5.29,5.79,2.64,8.1,1.32,1.49,6.78,6.78,0.83,0.99,10.58,5.45,10.25,5.95,5.29,4.79,1.32,1.32
DNA,21061.9605,0.020408163,10.85539608,-1.12244898,0.14285714300000002,0.244897959,0.22448979600000002,15.31,0.0,2.04,3.06,0.51,4.08,1.02,3.06,29.59,3.06,1.02,1.53,8.16,2.55,3.57,10.71,3.06,6.12,0.0,1.53
DNA,113082.4623,0.073964497,8.990390205,-0.536489152,0.27712031600000003,0.23274161699999998,0.253451677,6.61,1.38,6.11,7.4,2.96,7.0,1.87,4.73,12.43,8.88,2.47,3.55,4.34,3.35,3.25,8.38,4.14,6.71,1.28,3.16
DNA,12140.6128,0.066666667,5.397908211,-0.747619048,0.257142857,0.19047619,0.32380952399999996,7.62,0.95,4.76,13.33,1.9,3.81,2.86,6.67,7.62,8.57,2.86,3.81,5.71,2.86,6.67,5.71,5.71,3.81,1.9,2.86
DNA,118635.2645,0.087768441,5.826076317,-0.293930906,0.302521008,0.23622782399999998,0.253034547,7.47,1.12,5.7,7.56,3.83,7.75,1.87,5.88,6.63,8.12,2.15,3.55,4.2,2.52,5.14,8.12,5.98,7.47,0.93,4.01
DNA,17400.9126,0.072727273,5.150203896,-0.552727273,0.212121212,0.321212121,0.23636363600000002,9.7,0.61,5.45,8.48,4.85,13.94,0.0,2.42,3.64,4.24,1.21,3.03,5.45,1.82,8.48,9.7,7.27,7.27,1.82,0.61
DNA,13508.5125,0.0234375,10.58043842,-0.309375,0.2421875,0.2109375,0.28125,14.06,0.0,3.12,3.91,0.78,11.72,4.69,7.03,10.94,9.38,0.78,0.78,2.34,3.91,7.03,6.25,6.25,5.47,0.0,1.56
DNA,13552.565,0.0234375,10.58043842,-0.3109375,0.25,0.21875,0.265625,12.5,0.0,3.12,3.91,0.78,11.72,4.69,7.03,10.94,9.38,0.78,0.78,2.34,3.91,7.03,7.03,6.25,6.25,0.0,1.56
